# submitted_item	validated_id	current_symbol
CG4829	FBgn0030796	CG4829
CG4830	FBgn0037996	CG4830
CG4836	FBgn0270925	CG4836
CG4836	FBgn0051210	CG31210
CG4839	FBgn0032187	CG4839
CG4842	FBgn0036620	CG4842
CG4847	FBgn0034229	CG4847
CG4849	FBgn0039566	CG4849
CG4853	FBgn0034230	CG4853
CG4854	FBgn0038766	CG4854
CG4858	FBgn0037011	CG4858
CG4860	FBgn0037999	CG4860
CG4866	FBgn0034232	CG4866
CG4872	FBgn0030799	CG4872
CG4880	FBgn0030803	CG4880
CG4882	FBgn0025336	CG4882
CG4887	FBgn0031318	CG4887
CG4891	FBgn0028520	CG4891
CG4896	FBgn0031319	CG4896
CG4901	FBgn0032194	CG4901
CG4907	FBgn0039010	CG4907
CG4908	FBgn0032195	CG4908
CG4911	FBgn0035959	CG4911
CG4914	FBgn0036436	CG4914
CG4927	FBgn0034139	CG4927
CG4928	FBgn0027556	CG4928
CG4935	FBgn0028897	CG4935
CG4936	FBgn0038768	CG4936
CG4942	FBgn0035960	CG4942
CG4945	FBgn0034137	CG4945
CG4949	FBgn0030813	CG4949
CG4950	FBgn0036587	CG4950
CG4951	FBgn0039563	CG4951
CG4953	FBgn0032204	CG4953
CG4957	FBgn0032205	CG4957
CG4962	FBgn0036597	CG4962
CG4968	FBgn0032214	CG4968
CG4972	FBgn0032217	CG4972
CG4975	FBgn0034266	CG4975
CG4983	FBgn0032371	CG4983
CG4984	FBgn0034267	CG4984
CG4991	FBgn0030817	CG4991
CG5001	FBgn0031322	CG5001
CG5002	FBgn0034275	CG5002
CG5003	FBgn0039554	CG5003
CG5004	FBgn0260748	CG5004
CG5009	FBgn0027572	ACOX1
CG5013	FBgn0038396	CG5013
CG5021	FBgn0035944	CG5021
CG5022	FBgn0032225	CG5022
CG5023	FBgn0038774	CG5023
CG5024	FBgn0039373	CG5024
CG5026	FBgn0035945	CG5026
CG5027	FBgn0036579	CG5027
CG5028	FBgn0039358	CG5028
CG5033	FBgn0028744	CG5033
CG5037	FBgn0032222	Cox10
CG5038	FBgn0038324	CG5038
CG5039	FBgn0039356	CG5039
CG5043	FBgn0032636	CG5043
CG5044	FBgn0038326	CG5044
CG5048	FBgn0036437	CG5048
CG5050	FBgn0032637	CG5050
CG5056	FBgn0032231	CG5056
CG5059	FBgn0037007	BNIP3
CG5062	FBgn0029747	CG5062
CG5065	FBgn0034145	CG5065
CG5068	FBgn0035951	CG5068
CG5071	FBgn0039347	CG5071
CG5078	FBgn0037005	CG5078
CG5079	FBgn0039346	CG5079
CG5080	FBgn0031313	CG5080
CG5087	FBgn0035953	CG5087
CG5089	FBgn0034144	CG5089
CG5096	FBgn0032235	CG5096
CG5098	FBgn0034300	CG5098
CG5103	FBgn0036784	CG5103
CG5104	FBgn0037009	CG5104
CG5107	FBgn0039342	CG5107
CG5110	FBgn0032642	Lamtor3
CG5112	FBgn0039341	CG5112
CG5114	FBgn0036460	CG5114
CG5116	FBgn0039339	CG5116
CG5122	FBgn0032471	CG5122
CG5126	FBgn0031320	CG5126
CG5131	FBgn0032644	CG5131
CG5139	FBgn0031323	CG5139
CG5144	FBgn0035957	Argk2
CG5149	FBgn0031904	CG5149
CG5151	FBgn0036576	CG5151
CG5157	FBgn0036575	CG5157
CG5160	FBgn0031906	CG5160
CG5162	FBgn0030828	CG5162
CG5171	FBgn0031907	CG5171
CG5174	FBgn0034345	CG5174
CG5177	FBgn0031908	CG5177
CG5180	FBgn0043457	CG5180
CG5181	FBgn0031909	CG5181
CG5188	FBgn0032247	CG5188
CG5191	FBgn0038803	CG5191
CG5196	FBgn0038039	CG5196
CG5199	FBgn0036994	CG5199
CG5214	FBgn0037891	CG5214
CG5220	FBgn0038471	Trm7-32
CG5235	FBgn0036565	CG5235
CG5245	FBgn0038047	CG5245
CG5254	FBgn0040383	CG5254
CG5262	FBgn0036988	CG5262
CG5267	FBgn0034154	CG5267
CG5270	FBgn0037897	CG5270
CG5273	FBgn0040382	CG5273
CG5274	FBgn0036987	CG5274
CG5276	FBgn0037900	CG5276
CG5280	FBgn0035952	CG5280
CG5281	FBgn0037902	CG5281
CG5282	FBgn0036986	CG5282
CG5285	FBgn0038490	Smug
CG5287	FBgn0032477	Alg7
CG5290	FBgn0036772	CG5290
CG5292	FBgn0038491	CG5292
CG5316	FBgn0038704	CG5316
CG5321	FBgn0030575	CG5321
CG5323	FBgn0034362	CG5323
CG5326	FBgn0038983	CG5326
CG5335	FBgn0034365	CG5335
CG5339	FBgn0034925	CG5339
CG5346	FBgn0038981	CG5346
CG5348	FBgn0034156	CG5348
CG5355	FBgn0032242	CG5355
CG5359	FBgn0037773	CG5359
CG5376	FBgn0038977	CG5376
CG5377	FBgn0038974	CG5377
CG5380	FBgn0038951	Polr3F
CG5381	FBgn0032218	CG5381
CG5382	FBgn0038950	CG5382
CG5390	FBgn0032213	CG5390
CG5391	FBgn0038943	CG5391
CG5397	FBgn0031327	CG5397
CG5404	FBgn0038354	CG5404
CG5412	FBgn0038806	CG5412
CG5435	FBgn0032431	CG5435
CG5439	FBgn0032476	CG5439
CG5445	FBgn0030838	CG5445
CG5446	FBgn0032429	CG5446
CG5447	FBgn0039427	CG5447
CG5455	FBgn0039430	CG5455
CG5466	FBgn0038815	CG5466
CG5498	FBgn0027565	CG5498
CG5500	FBgn0039461	CG5500
CG5504	FBgn0002174	CG5504
CG5506	FBgn0036766	CG5506
CG5509	FBgn0038054	CG5509
CG5510	FBgn0039160	CG5510
CG5515	FBgn0039163	CG5515
CG5516	FBgn0038389	CG5516
CG5521	FBgn0039466	CG5521
CG5522	FBgn0034158	CG5522
CG5532	FBgn0034902	CG5532
CG5535	FBgn0036764	CG5535
CG5539	FBgn0034907	CG5539
CG5541	FBgn0030603	CG5541
CG5543	FBgn0034908	CG5543
CG5550	FBgn0034160	CG5550
CG5554	FBgn0034914	CG5554
CG5555	FBgn0038686	CG5555
CG5556	FBgn0031332	CG5556
CG5561	FBgn0031333	CG5561
CG5565	FBgn0031335	CG5565
CG5567	FBgn0036760	CG5567
CG5569	FBgn0034919	CG5569
CG5577	FBgn0036759	CG5577
CG5589	FBgn0036754	CG5589
CG5590	FBgn0039537	Hsdl2
CG5597	FBgn0034920	CG5597
CG5599	FBgn0030612	Dbct
CG5608	FBgn0038058	CG5608
CG5611	FBgn0039531	CG5611
CG5612	FBgn0039529	CG5612
CG5613	FBgn0030839	CG5613
CG5614	FBgn0038359	CG5614
CG5618	FBgn0036975	CG5618
CG5639	FBgn0039527	CG5639
CG5641	FBgn0038046	CG5641
CG5644	FBgn0035948	CG5644
CG5645	FBgn0036254	CG5645
CG5646	FBgn0039525	CG5646
CG5664	FBgn0037082	CG5664
CG5674	FBgn0032656	CG5674
CG5676	FBgn0032200	CG5676
CG5687	FBgn0035293	CG5687
CG5693	FBgn0040989	CG5693
CG5697	FBgn0038846	CG5697
CG5704	FBgn0026570	CG5704
CG5707	FBgn0026593	CG5707
CG5708	FBgn0032196	CG5708
CG5715	FBgn0039180	CG5715
CG5721	FBgn0034315	CG5721
CG5726	FBgn0034313	CG5726
CG5727	FBgn0032193	CG5727
CG5728	FBgn0039182	CG5728
CG5731	FBgn0032192	CG5731
CG5742	FBgn0034304	CG5742
CG5745	FBgn0038855	Tbc1d22
CG5746	FBgn0039186	CG5746
CG5757	FBgn0034299	CG5757
CG5758	FBgn0032666	CG5758
CG5762	FBgn0039190	CG5762
CG5773	FBgn0034290	CG5773
CG5776	FBgn0032450	CG5776
CG5781	FBgn0032448	CG5781
CG5783	FBgn0032670	CG5783
CG5787	FBgn0032454	CG5787
CG5789	FBgn0039207	Cftr
CG5790	FBgn0032677	CG5790
CG5793	FBgn0038858	CG5793
CG5800	FBgn0030855	CG5800
CG5805	FBgn0039223	CG5805
CG5808	FBgn0027617	CG5808
CG5810	FBgn0038866	CG5810
CG5815	FBgn0027574	CG5815
CG5823	FBgn0038515	CG5823
CG5828	FBgn0031682	CG5828
CG5835	FBgn0038682	CG5835
CG5846	FBgn0032171	CG5846
CG5850	FBgn0032172	CG5850
CG5853	FBgn0032167	CG5853
CG5854	FBgn0039130	CG5854
CG5861	FBgn0015338	CG5861
CG5862	FBgn0038868	CG5862
CG5866	FBgn0038508	CG5866
CG5867	FBgn0027586	CG5867
CG5877	FBgn0030625	CG5877
CG5880	FBgn0039489	CG5880
CG5882	FBgn0039490	CG5882
CG5885	FBgn0025700	CG5885
CG5886	FBgn0039379	CG5886
CG5888	FBgn0028523	CG5888
CG5890	FBgn0039380	CG5890
CG5892	FBgn0038873	CG5892
CG5895	FBgn0036560	CG5895
CG5902	FBgn0039136	CG5902
CG5903	FBgn0038400	Mic26-27
CG5906	FBgn0036217	CG5906
CG5909	FBgn0039495	CG5909
CG5910	FBgn0036993	CG5910
CG5913	FBgn0039385	CG5913
CG5916	FBgn0038401	CG5916
CG5921	FBgn0029835	CG5921
CG5928	FBgn0029836	CG5928
CG5934	FBgn0039505	CG5934
CG5937	FBgn0029834	CG5937
CG5938	FBgn0046247	CG5938
CG5945	FBgn0032494	CG5945
CG5946	FBgn0036211	CG5946
CG5948	FBgn0039386	CG5948
CG5953	FBgn0032587	CG5953
CG5955	FBgn0036997	CG5955
CG5958	FBgn0031913	CG5958
CG5961	FBgn0038056	CG5961
CG5964	FBgn0036206	twy
CG5966	FBgn0029831	CG5966
CG5968	FBgn0032588	CG5968
CG5969	FBgn0036998	CG5969
CG5973	FBgn0031914	CG5973
CG5986	FBgn0043455	CG5986
CG5989	FBgn0017429	CG5989
CG6000	FBgn0039145	CG6000
CG6005	FBgn0038672	CG6005
CG6006	FBgn0063649	CG6006
CG6013	FBgn0038675	CG6013
CG6023	FBgn0030912	CG6023
CG6024	FBgn0036202	loaf
CG6028	FBgn0038924	CG6028
CG6034	FBgn0036750	CG6034
CG6036	FBgn0039421	CG6036
CG6040	FBgn0038679	CG6040
CG6041	FBgn0029826	CG6041
CG6044	FBgn0034725	CG6044
CG6051	FBgn0039492	CG6051
CG6052	FBgn0036747	CG6052
CG6055	FBgn0031918	CG6055
CG6059	FBgn0039491	CG6059
CG6066	FBgn0039488	CG6066
CG6067	FBgn0029828	CG6067
CG6071	FBgn0036186	CG6071
CG6073	FBgn0039417	CG6073
CG6083	FBgn0036183	CG6083
CG6094	FBgn0032261	CG6094
CG6106	FBgn0030914	CG6106
CG6115	FBgn0040985	CG6115
CG6118	FBgn0038339	CG6118
CG6123	FBgn0030913	kairos
CG6125	FBgn0038337	CG6125
CG6126	FBgn0038407	CG6126
CG6136	FBgn0038332	CG6136
CG6138	FBgn0032268	CG6138
CG6142	FBgn0039415	CG6142
CG6144	FBgn0032259	CG6144
CG6145	FBgn0033853	CG6145
CG6153	FBgn0032445	CG6153
CG6154	FBgn0039420	CG6154
CG6163	FBgn0036155	CG6163
CG6171	FBgn0026737	CG6171
CG6175	FBgn0036152	Dyro
CG6178	FBgn0039156	CG6178
CG6179	FBgn0030915	CG6179
CG6180	FBgn0032453	CG6180
CG6184	FBgn0038725	CG6184
CG6191	FBgn0027581	CG6191
CG6195	FBgn0038723	CG6195
CG6201	FBgn0032343	CG6201
CG6204	FBgn0039165	CG6204
CG6209	FBgn0033862	CG6209
CG6216	FBgn0036139	CG6216
CG6218	FBgn0038321	CG6218
CG6220	FBgn0033865	CG6220
CG6225	FBgn0038072	CG6225
CG6227	FBgn0030631	Prp5
CG6230	FBgn0027582	CG6230
CG6231	FBgn0038720	CG6231
CG6236	FBgn0038318	CG6236
CG6244	FBgn0036531	CG6244
CG6254	FBgn0037794	CG6254
CG6262	FBgn0034121	CG6262
CG6276	FBgn0038316	CG6276
CG6282	FBgn0035914	CG6282
CG6287	FBgn0032350	CG6287
CG6290	FBgn0030921	CG6290
CG6293	FBgn0037807	CG6293
CG6294	FBgn0030640	CG6294
CG6299	FBgn0030641	CG6299
CG6304	FBgn0032624	CG6304
CG6310	FBgn0036121	CG6310
CG6321	FBgn0036117	CG6321
CG6324	FBgn0030647	CG6324
CG6325	FBgn0037814	CG6325
CG6329	FBgn0033872	CG6329
CG6330	FBgn0039464	CG6330
CG6333	FBgn0036731	CG6333
CG6337	FBgn0033873	CG6337
CG6340	FBgn0030648	CG6340
CG6345	FBgn0037816	CG6345
CG6347	FBgn0033874	CG6347
CG6356	FBgn0039178	CG6356
CG6357	FBgn0033875	CG6357
CG6362	FBgn0028740	CG6362
CG6379	FBgn0029693	Cmtr1
CG6380	FBgn0032632	CG6380
CG6388	FBgn0032430	Trm1
CG6398	FBgn0030870	CG6398
CG6405	FBgn0032428	Fam92
CG6409	FBgn0036106	CG6409
CG6414	FBgn0029690	CG6414
CG6415	FBgn0032287	CG6415
CG6418	FBgn0036104	CG6418
CG6420	FBgn0039451	CG6420
CG6421	FBgn0025827	CG6421
CG6424	FBgn0028494	CG6424
CG6425	FBgn0039449	CG6425
CG6426	FBgn0034162	CG6426
CG6428	FBgn0029689	CG6428
CG6429	FBgn0046999	CG6429
CG6431	FBgn0032289	CG6431
CG6435	FBgn0034165	CG6435
CG6441	FBgn0031920	CG6441
CG6443	FBgn0032290	CG6443
CG6454	FBgn0039187	CG6454
CG6462	FBgn0035663	CG6462
CG6465	FBgn0037818	CG6465
CG6470	FBgn0030933	CG6470
CG6472	FBgn0034166	CG6472
CG6479	FBgn0036710	CG6479
CG6481	FBgn0030936	CG6481
CG6484	FBgn0034247	CG6484
CG6495	FBgn0027550	CG6495
CG6497	FBgn0036704	CG6497
CG6503	FBgn0040606	CG6503
CG6511	FBgn0035923	CG6511
CG6512	FBgn0036702	Afg3l2
CG6523	FBgn0032509	CG6523
CG6527	FBgn0036085	CG6527
CG6550	FBgn0034214	CG6550
CG6553	FBgn0033880	CG6553
CG6565	FBgn0032513	CG6565
CG6567	FBgn0037842	CG6567
CG6569	FBgn0038909	CG6569
CG6574	FBgn0037846	CG6574
CG6576	FBgn0035924	CG6576
CG6583	FBgn0032420	CG6583
CG6602	FBgn0035673	CG6602
CG6607	FBgn0039204	CG6607
CG6610	FBgn0035675	CG6610
CG6614	FBgn0032369	CG6614
CG6617	FBgn0030944	Hou
CG6621	FBgn0037855	CG6621
CG6628	FBgn0036072	CG6628
CG6638	FBgn0035911	CG6638
CG6650	FBgn0036402	CG6650
CG6652	FBgn0036687	CG6652
CG6654	FBgn0038301	CG6654
CG6656	FBgn0038912	CG6656
CG6659	FBgn0030946	CG6659
CG6660	FBgn0039030	CG6660
CG6661	FBgn0036403	CG6661
CG6664	FBgn0036685	CG6664
CG6665	FBgn0034172	CG6665
CG6674	FBgn0036063	CG6674
CG6675	FBgn0032973	CG6675
CG6678	FBgn0038917	CG6678
CG6683	FBgn0035902	CG6683
CG6685	FBgn0036062	CG6685
CG6686	FBgn0032388	CG6686
CG6689	FBgn0037877	CG6689
CG6693	FBgn0037878	CG6693
CG6695	FBgn0039215	CG6695
CG6696	FBgn0030947	CG6696
CG6700	FBgn0032305	CG6700
CG6701	FBgn0033889	CG6701
CG6707	FBgn0036058	CG6707
CG6712	FBgn0032408	CG6712
CG6724	FBgn0032298	CG6724
CG6726	FBgn0039049	CG6726
CG6729	FBgn0032296	CG6729
CG6733	FBgn0039052	CG6733
CG6738	FBgn0039053	CG6738
CG6739	FBgn0031926	CG6739
CG6749	FBgn0036040	CG6749
CG6752	FBgn0038296	Kpc1
CG6758	FBgn0034704	Fbxo42
CG6761	FBgn0036031	CG6761
CG6762	FBgn0030876	CG6762
CG6763	FBgn0039069	CG6763
CG6765	FBgn0035903	CG6765
CG6766	FBgn0032398	CG6766
CG6769	FBgn0030878	CG6769
CG6770	FBgn0032400	CG6770
CG6785	FBgn0032399	CG6785
CG6788	FBgn0030880	CG6788
CG6790	FBgn0037915	CG6790
CG6791	FBgn0037918	CG6791
CG6793	FBgn0036242	CG6793
CG6800	FBgn0038902	CG6800
CG6805	FBgn0034179	CG6805
CG6808	FBgn0037921	Zaf1
CG6813	FBgn0037923	CG6813
CG6830	FBgn0037934	CG6830
CG6833	FBgn0036405	CG6833
CG6834	FBgn0037935	CG6834
CG6836	FBgn0036834	CG6836
CG6841	FBgn0036828	Prp6
CG6843	FBgn0036827	CG6843
CG6845	FBgn0035099	CG6845
CG6847	FBgn0030884	CG6847
CG6867	FBgn0030887	CG6867
CG6870	FBgn0032652	CG6870
CG6878	FBgn0036488	CG6878
CG6891	FBgn0030955	CG6891
CG6893	FBgn0036807	CG6893
CG6901	FBgn0038414	CG6901
CG6903	FBgn0029737	CG6903
CG6907	FBgn0031711	CG6907
CG6908	FBgn0037936	CG6908
CG6910	FBgn0036262	CG6910
CG6912	FBgn0038290	CG6912
CG6923	FBgn0037944	CG6923
CG6927	FBgn0029733	CG6927
CG6928	FBgn0036240	CG6928
CG6931	FBgn0036236	CG6931
CG6937	FBgn0038989	CG6937
CG6938	FBgn0036235	CG6938
CG6951	FBgn0036959	CG6951
CG6959	FBgn0037956	CG6959
CG6961	FBgn0030959	CG6961
CG6962	FBgn0037958	CG6962
CG6966	FBgn0038286	CG6966
CG6967	FBgn0034187	Mov10
CG6972	FBgn0039008	CG6972
CG6974	FBgn0038285	CG6974
CG6980	FBgn0039228	CG6980
CG6983	FBgn0035896	CG6983
CG6984	FBgn0034191	CG6984
CG6985	FBgn0039017	CG6985
CG6999	FBgn0030085	CG6999
CG7006	FBgn0039233	CG7006
CG7009	FBgn0038861	Trm7-34
CG7011	FBgn0036489	CG7011
CG7016	FBgn0039238	CG7016
CG7024	FBgn0029722	CG7024
CG7028	FBgn0027587	Prp4k
CG7029	FBgn0039026	CG7029
CG7044	FBgn0038854	CG7044
CG7049	FBgn0035102	CG7049
CG7054	FBgn0038972	CG7054
CG7058	FBgn0030961	CG7058
CG7059	FBgn0038957	CG7059
CG7065	FBgn0030091	CG7065
CG7069	FBgn0038952	CG7069
CG7071	FBgn0260467	CG7071
CG7071	FBgn0083967	Muted
CG7079	FBgn0038849	CG7079
CG7083	FBgn0035877	CG7083
CG7084	FBgn0038938	CG7084
CG7091	FBgn0038099	CG7091
CG7099	FBgn0032517	CG7099
CG7101	FBgn0030963	CG7101
CG7102	FBgn0031961	CG7102
CG7110	FBgn0032521	CG7110
CG7115	FBgn0027515	CG7115
CG7120	FBgn0035888	CG7120
CG7126	FBgn0038602	CG7126
CG7130	FBgn0037151	CG7130
CG7131	FBgn0038598	CG7131
CG7133	FBgn0037150	CG7133
CG7137	FBgn0034422	CG7137
CG7139	FBgn0027532	CG7139
CG7142	FBgn0038595	CG7142
CG7148	FBgn0046301	CG7148
CG7149	FBgn0031948	CG7149
CG7154	FBgn0031947	Brd7-9
CG7156	FBgn0038588	CG7156
CG7164	FBgn0031946	CG7164
CG7166	FBgn0037107	CG7166
CG7168	FBgn0038586	CG7168
CG7182	FBgn0035878	CG7182
CG7183	FBgn0038583	CG7183
CG7191	FBgn0031945	CG7191
CG7194	FBgn0035868	CG7194
CG7201	FBgn0035865	CG7201
CG7202	FBgn0037086	CG7202
CG7203	FBgn0031942	CG7203
CG7206	FBgn0030892	CG7206
CG7208	FBgn0038575	CG7208
CG7213	FBgn0035861	CG7213
CG7214	FBgn0031940	CG7214
CG7218	FBgn0038569	CG7218
CG7220	FBgn0033544	CG7220
CG7222	FBgn0033551	CG7222
CG7227	FBgn0031970	CG7227
CG7231	FBgn0031968	CG7231
CG7236	FBgn0031730	CG7236
CG7239	FBgn0031740	CG7239
CG7246	FBgn0030081	CG7246
CG7251	FBgn0031723	CG7251
CG7255	FBgn0036493	CG7255
CG7264	FBgn0036214	CG7264
CG7265	FBgn0038272	Dph2
CG7272	FBgn0036501	CG7272
CG7275	FBgn0036500	CG7275
CG7289	FBgn0031379	CG7289
CG7294	FBgn0032284	CG7294
CG7295	FBgn0031372	CG7295
CG7296	FBgn0032283	CG7296
CG7300	FBgn0032286	CG7300
CG7309	FBgn0032314	CG7309
CG7322	FBgn0030968	CG7322
CG7324	FBgn0037074	Tbc1d8-9
CG7326	FBgn0030970	CG7326
CG7328	FBgn0036942	CG7328
CG7330	FBgn0036780	CG7330
CG7332	FBgn0030973	CG7332
CG7333	FBgn0038715	CG7333
CG7335	FBgn0036941	CG7335
CG7339	FBgn0036188	Polr3H
CG7339	FBgn0038546	CG7379
CG7341	FBgn0036777	CG7341
CG7342	FBgn0038716	CG7342
CG7352	FBgn0037581	CG7352
CG7362	FBgn0038258	CG7362
CG7365	FBgn0036939	CG7365
CG7367	FBgn0031976	CG7367
CG7368	FBgn0036179	CG7368
CG7369	FBgn0037188	CG7369
CG7370	FBgn0037133	CG7370
CG7376	FBgn0035689	CG7376
CG7378	FBgn0030976	CG7378
CG7379	FBgn0038546	CG7379
CG7381	FBgn0038098	CG7381
CG7382	FBgn0031708	CG7382
CG7384	FBgn0032262	CG7384
CG7386	FBgn0035691	CG7386
CG7387	FBgn0035852	CG7387
CG7394	FBgn0036173	CG7394
CG7402	FBgn0036768	CG7402
CG7407	FBgn0037134	CG7407
CG7408	FBgn0036765	CG7408
CG7409	FBgn0035817	CG7409
CG7414	FBgn0037135	CG7414
CG7420	FBgn0031344	CG7420
CG7430	FBgn0036762	CG7430
CG7432	FBgn0038727	CG7432
CG7453	FBgn0030991	CG7453
CG7457	FBgn0035812	CG7457
CG7458	FBgn0037144	CG7458
CG7460	FBgn0036749	CG7460
CG7461	FBgn0034432	CG7461
CG7470	FBgn0037146	P5CS
CG7483	FBgn0037573	CG7483
CG7484	FBgn0036745	CG7484
CG7488	FBgn0038106	CG7488
CG7492	FBgn0035807	CG7492
CG7497	FBgn0036742	CG7497
CG7504	FBgn0035842	Setx
CG7506	FBgn0035805	CG7506
CG7509	FBgn0035575	CG7509
CG7514	FBgn0035567	CG7514
CG7518	FBgn0038108	CG7518
CG7519	FBgn0037087	CG7519
CG7523	FBgn0038533	CG7523
CG7530	FBgn0038256	CG7530
CG7536	FBgn0030890	CG7536
CG7542	FBgn0036738	CG7542
CG7544	FBgn0033994	CG7544
CG7546	FBgn0035793	CG7546
CG7548	FBgn0035792	CG7548
CG7550	FBgn0035839	CG7550
CG7556	FBgn0030990	CG7556
CG7560	FBgn0036157	CG7560
CG7564	FBgn0036734	CG7564
CG7565	FBgn0035833	CG7565
CG7568	FBgn0039673	CG7568
CG7582	FBgn0039681	CG7582
CG7600	FBgn0064766	CG7600
CG7601	FBgn0027583	CG7601
CG7607	FBgn0036145	CG7607
CG7611	FBgn0037094	CG7611
CG7627	FBgn0032026	CG7627
CG7630	FBgn0040793	CG7630
CG7632	FBgn0037071	CG7632
CG7634	FBgn0037101	CG7634
CG7637	FBgn0033548	CG7637
CG7638	FBgn0036133	emei
CG7639	FBgn0033989	CG7639
CG7646	FBgn0036926	CG7646
CG7650	FBgn0036519	CG7650
CG7655	FBgn0038536	CG7655
CG7656	FBgn0036516	CG7656
CG7668	FBgn0036929	CG7668
CG7675	FBgn0038610	CG7675
CG7685	FBgn0038619	CG7685
CG7692	FBgn0036714	CG7692
CG7694	FBgn0038627	CG7694
CG7695	FBgn0038631	CG7695
CG7702	FBgn0038638	CG7702
CG7706	FBgn0038640	CG7706
CG7707	FBgn0036703	CG7707
CG7714	FBgn0038645	CG7714
CG7715	FBgn0038646	CG7715
CG7716	FBgn0035800	CG7716
CG7718	FBgn0038649	PGS1
CG7720	FBgn0038652	CG7720
CG7724	FBgn0036698	CG7724
CG7728	FBgn0036686	CG7728
CG7730	FBgn0036689	CG7730
CG7737	FBgn0033584	CG7737
CG7739	FBgn0036509	CG7739
CG7741	FBgn0033615	CG7741
CG7742	FBgn0031690	CG7742
CG7744	FBgn0034447	CG7744
CG7745	FBgn0033616	CG7745
CG7747	FBgn0034109	CG7747
CG7763	FBgn0040503	CG7763
CG7766	FBgn0030087	CG7766
CG7768	FBgn0036415	CG7768
CG7772	FBgn0030883	CG7772
CG7778	FBgn0032025	CG7778
CG7781	FBgn0032021	CG7781
CG7785	FBgn0038564	CG7785
CG7786	FBgn0034096	CG7786
CG7789	FBgn0039698	CG7789
CG7791	FBgn0033038	CG7791
CG7794	FBgn0038565	CG7794
CG7798	FBgn0034092	CG7798
CG7800	FBgn0037552	CG7800
CG7806	FBgn0032018	CG7806
CG7810	FBgn0032017	CG7810
CG7824	FBgn0039711	CG7824
CG7834	FBgn0039697	CG7834
CG7839	FBgn0036124	CG7839
CG7840	FBgn0032014	CG7840
CG7841	FBgn0036502	CG7841
CG7848	FBgn0034127	CG7848
CG7849	FBgn0033060	CG7849
CG7857	FBgn0026738	CG7857
CG7860	FBgn0030653	CG7860
CG7872	FBgn0030658	CG7872
CG7878	FBgn0037549	CG7878
CG7879	FBgn0035235	CG7879
CG7881	FBgn0033048	CG7881
CG7884	FBgn0031001	CG7884
CG7886	FBgn0038248	CG7886
CG7888	FBgn0036116	CG7888
CG7889	FBgn0031003	CG7889
CG7896	FBgn0039728	CG7896
CG7900	FBgn0037548	CG7900
CG7903	FBgn0039730	CG7903
CG7906	FBgn0036417	CG7906
CG7910	FBgn0037547	CG7910
CG7912	FBgn0039736	CG7912
CG7914	FBgn0030995	CG7914
CG7916	FBgn0028534	CG7916
CG7920	FBgn0039737	CG7920
CG7924	FBgn0036416	CG7924
CG7943	FBgn0039741	CG7943
CG7945	FBgn0036505	CG7945
CG7946	FBgn0039743	Jasper
CG7953	FBgn0028533	CG7953
CG7956	FBgn0038890	sp3
CG7966	FBgn0038115	CG7966
CG7968	FBgn0028532	CG7968
CG7970	FBgn0035252	CG7970
CG7974	FBgn0035254	CG7974
CG7985	FBgn0028499	CG7985
CG7987	FBgn0038244	CG7987
CG7988	FBgn0038582	CG7988
CG7990	FBgn0030997	CG7990
CG7991	FBgn0035260	CG7991
CG7997	FBgn0034117	CG7997
CG8001	FBgn0035268	CG8001
CG8003	FBgn0036096	CG8003
CG8004	FBgn0036920	CG8004
CG8005	FBgn0035854	Dhps
CG8006	FBgn0035857	CG8006
CG8008	FBgn0033387	CG8008
CG8009	FBgn0036090	CG8009
CG8010	FBgn0031008	CG8010
CG8012	FBgn0040832	CG8012
CG8027	FBgn0033392	CG8027
CG8031	FBgn0038110	CG8031
CG8032	FBgn0037606	CG8032
CG8034	FBgn0031011	CG8034
CG8036	FBgn0037607	CG8036
CG8042	FBgn0027554	CG8042
CG8043	FBgn0037610	CG8043
CG8046	FBgn0033388	CG8046
CG8051	FBgn0031012	CG8051
CG8060	FBgn0034113	CG8060
CG8064	FBgn0038597	CG8064
CG8066	FBgn0038243	CG8066
CG8067	FBgn0033891	CG8067
CG8072	FBgn0036070	CG8072
CG8078	FBgn0033375	CG8078
CG8079	FBgn0034002	CG8079
CG8080	FBgn0033373	CG8080
CG8086	FBgn0032010	CG8086
CG8087	FBgn0038241	CG8087
CG8089	FBgn0033993	CG8089
CG8097	FBgn0030660	CG8097
CG8108	FBgn0027567	Ciz1
CG8111	FBgn0035825	CG8111
CG8112	FBgn0037612	CG8112
CG8128	FBgn0030668	CG8128
CG8132	FBgn0037687	CG8132
CG8134	FBgn0030671	CG8134
CG8136	FBgn0037616	CG8136
CG8142	FBgn0030871	CG8142
CG8149	FBgn0037700	CG8149
CG8152	FBgn0034008	CG8152
CG8155	FBgn0034009	CG8155
CG8157	FBgn0034010	CG8157
CG8159	FBgn0037619	CG8159
CG8160	FBgn0034011	CG8160
CG8170	FBgn0033365	CG8170
CG8172	FBgn0033362	CG8172
CG8173	FBgn0030864	CG8173
CG8176	FBgn0037702	CG8176
CG8180	FBgn0034021	CG8180
CG8187	FBgn0034027	CG8187
CG8188	FBgn0030863	CG8188
CG8191	FBgn0030675	CG8191
CG8192	FBgn0034030	CG8192
CG8195	FBgn0034032	CG8195
CG8199	FBgn0037709	CG8199
CG8202	FBgn0037622	CG8202
CG8204	FBgn0034033	CG8204
CG8206	FBgn0030679	CG8206
