#submitted_item	validated_id	current_symbol
CG10007	FBgn0260744	Tango9
CG32555	FBgn0026375	RhoGAPp190
CG32575	FBgn0026575	hang
CG32592	FBgn0030600	hiw
CG32593	FBgn0264078	Flo2
CG32600	FBgn0052600	dpr8
CG3262	FBgn0032986	CG3262
CG32626	FBgn0052626	AMPdeam
CG32647	FBgn0052647	CG32647
CG3265	FBgn0027066	Eb1
CG32666	FBgn0052666	Drak
CG32672	FBgn0052672	Atg8a
CG32676	FBgn0052676	stx
CG32677	FBgn0052667	ssp7
CG32677	FBgn0052677	X11LÎ²
CG32685	FBgn0052685	ZAP3
CG3269	FBgn0014009	Rab2
CG32697	FBgn0028341	Ptpmeg2
CG32700	FBgn0267253	CG32700
CG32701	FBgn0028327	l(1)G0320
CG32711	FBgn0262976	lawc
CG32717	FBgn0261873	sdt
CG32744	FBgn0086558	Ubi-p5E
CG32767	FBgn0052767	CG32767
CG32772	FBgn0052772	CG32772
CG32809	FBgn0023531	CG32809
CG3283	FBgn0014028	SdhB
CG32848	FBgn0270928	VAChT
CG32850	FBgn0052850	Rnf11
CG32975	FBgn0028875	nAChRÎ±5
CG33002	FBgn0053002	mRpL27
CG3305	FBgn0032949	Lamp1
CG33100	FBgn0053100	eIF4EHP
CG33106	FBgn0043884	mask
CG33113	FBgn0053113	Rtnl1
CG33129	FBgn0053129	CG33129
CG33130	FBgn0263197	Patronin
CG33131	FBgn0033052	SCAP
CG3314	FBgn0014026	RpL7A
CG33143	FBgn0053143	CG33143
CG33144	FBgn0053144	CG33144
CG33147	FBgn0053147	Hs3st-A
CG33170	FBgn0053170	CG33170
CG33174	FBgn0261244	inaE
CG33179	FBgn0053179	beat-IIIb
CG33180	FBgn0053180	Ranbp16
CG33181	FBgn0053181	CG33181
CG33182	FBgn0053182	Kdm4B
CG33197	FBgn0265487	mbl
CG33199	FBgn0053199	CG33199
CG3320	FBgn0285937	Rab1
CG33202	FBgn0053202	dpr11
CG3321	FBgn0038224	ATPsynE
CG33229	FBgn0053229	CG33229
CG3329	FBgn0023174	ProsÎ²2
CG33303	FBgn0053303	CG33303
CG33472	FBgn0260499	qvr
CG33481	FBgn0053481	dpr7
CG33485	FBgn0038282	dpr9
CG33517	FBgn0053517	Dop2R
CG33526	FBgn0053526	PNUTS
CG33543	FBgn0053543	CG33543
CG33547	FBgn0053547	Rim
CG33554	FBgn0053554	Nipped-A
CG3365	FBgn0020304	drongo
CG33653	FBgn0053653	Cadps
CG3379	FBgn0013981	His4r
CG3395	FBgn0010408	RpS9
CG33976	FBgn0038063	OctÎ²2R
CG33988	FBgn0053988	Mid1
CG3399	FBgn0000256	capu
CG3403	FBgn0259483	Mob4
CG34113	FBgn0083949	side-III
CG34114	FBgn0083950	side-VI
CG3412	FBgn0283468	slmb
CG34125	FBgn0083961	CG34125
CG34126	FBgn0083962	CG34126
CG34127	FBgn0083963	Nlg3
CG34157	FBgn0260003	Dys
CG34159	FBgn0085188	CG34159
CG3416	FBgn0002787	Rpn8
CG3421	FBgn0038853	RhoGAP93B
CG34250	FBgn0085279	CG34250
CG34354	FBgn0085383	CG34354
CG34358	FBgn0085387	shakB
CG34360	FBgn0267336	Glut4EF
CG34362	FBgn0085391	trv
CG34378	FBgn0085407	Pvf3
CG34383	FBgn0085412	kmr
CG34384	FBgn0085413	CG34384
CG34385	FBgn0085414	dpr12
CG34387	FBgn0259108	futsch
CG34392	FBgn0085421	Epac
CG34394	FBgn0085423	GramD1B
CG34401	FBgn0085430	Dora
CG34403	FBgn0085432	pan
CG34405	FBgn0085434	NaCP60E
CG34407	FBgn0085436	Not1
CG34410	FBgn0086913	Rab26
CG34412	FBgn0283657	Tlk
CG34413	FBgn0085442	NKAIN
CG34413	FBgn0263005	Chpf
CG34418	FBgn0085447	sif
CG34421	FBgn0085450	Snoo
CG34439	FBgn0085468	ND-MWFE
CG34449	FBgn0085478	Zdhhc8
CG3446	FBgn0029868	ND-B16.6
CG3501	FBgn0034791	EMC8-9
CG3525	FBgn0000536	eas
CG3530	FBgn0028497	Mtmr6
CG3556	FBgn0029708	CG3556
CG3558	FBgn0025681	CG3558
CG3560	FBgn0030733	UQCR-14
CG3564	FBgn0029709	CHOp24
CG3566	FBgn0029854	CG3566
CG3576	FBgn0040918	schlank
CG3584	FBgn0022984	qkr58E-3
CG3595	FBgn0003514	sqh
CG3605	FBgn0031493	Sf3b2
CG3612	FBgn0011211	blw
CG3613	FBgn0022986	qkr58E-1
CG3620	FBgn0262738	norpA
CG3621	FBgn0025839	ND-B14.5A
CG3625	FBgn0031245	CG3625
CG3638	FBgn0261444	CG3638
CG3644	FBgn0000181	bic
CG3653	FBgn0028369	kirre
CG3654	FBgn0036004	Jarid2
CG3661	FBgn0010078	RpL23
CG3662	FBgn0031285	CG3662
CG3664	FBgn0014010	Rab5
CG3682	FBgn0034789	PIP5K59B
CG3683	FBgn0035046	ND-19
CG3689	FBgn0288470	Cpsf5
CG3694	FBgn0267252	GÎ³30A
CG3696	FBgn0266557	kis
CG3719	FBgn0024986	CG3719
CG3726	FBgn0029824	CG3726
CG3731	FBgn0038271	UQCR-C1
CG3732	FBgn0034750	CG3732
CG3733	FBgn0250786	Chd1
CG3751	FBgn0261596	RpS24
CG3779	FBgn0002973	numb
CG3779	FBgn0013718	nuf
CG3798	FBgn0013305	Nmda1
CG3800	FBgn0034802	CNBP
CG3825	FBgn0034948	PPP1R15
CG3845	FBgn0010488	NAT1
CG3861	FBgn0261955	kdn
CG3869	FBgn0029870	Marf
CG3887	FBgn0031670	SelT
CG3905	FBgn0265623	Su(z)2
CG3920	FBgn0021800	Reph
CG3922	FBgn0005533	RpS17
CG3944	FBgn0017567	ND-23
CG3954	FBgn0000382	csw
CG3955	FBgn0033793	CG3955
CG3967	FBgn0035989	Atat
CG3971	FBgn0260960	Baldspot
CG3973	FBgn0029881	pigs
CG3981	FBgn0040395	Unc-76
CG3985	FBgn0004575	Syn
CG3988	FBgn0028552	Î³Snap1
CG3997	FBgn0023170	RpL39
CG4001	FBgn0003071	Pfk
CG40042	FBgn0267976	Tim23
CG40045	FBgn0058045	CG40045
CG40049	FBgn0287187	mRpS5
CG40080	FBgn0046706	Haspin
CG40127	FBgn0262116	RNASEK
CG40129	FBgn0260798	Gprk1
CG4013	FBgn0265523	Smr
CG4016	FBgn0086532	Spt-I
CG40178	FBgn0287183	l(3)80Fg
CG40191	FBgn0058191	CG40191
CG40196	FBgn0267861	Maf1
CG40218	FBgn0267398	Yeti
CG40228	FBgn0063670	CG40228
CG40263	FBgn0058263	MFS17
CG4027	FBgn0000042	Act5C
CG40293	FBgn0046692	Stlk
CG4032	FBgn0000017	Abl
CG4035	FBgn0015218	eIF4E1
CG40351	FBgn0040022	Set1
CG40410	FBgn0086378	Alg-2
CG40411	FBgn0010247	Parp
CG40451	FBgn0263977	Tim17b
CG40452	FBgn0011288	Snap25
CG4046	FBgn0034743	RpS16
CG40478	FBgn0027101	Dyrk3
CG40498	FBgn0069969	CG40498
CG4059	FBgn0001078	ftz-f1
CG4080	FBgn0035983	CG4080
CG4083	FBgn0017572	Mo25
CG4087	FBgn0002593	RpLP1
CG4094	FBgn0286222	Fum1
CG4101	FBgn0025558	CG4101
CG4108	FBgn0036805	Chmp1
CG41099	FBgn0039955	CG41099
CG4111	FBgn0029785	RpL35
CG4122	FBgn0004648	svr
CG4128	FBgn0032151	nAChRÎ±6
CG4143	FBgn0262732	mbf1
CG4147	FBgn0001218	Hsc70-3
CG4153	FBgn0004926	eIF2Î²
CG41623	FBgn0260008	UQCR-11
CG4169	FBgn0250814	UQCR-C2
CG4170	FBgn0024183	vig
CG4173	FBgn0014029	Septin2
CG4209	FBgn0010014	CanB
CG4211	FBgn0004227	nonA
CG4212	FBgn0015791	Rab14
CG4220	FBgn0004858	elB
CG42236	FBgn0262114	RanBPM
CG42238	FBgn0250867	CG42238
CG42242	FBgn0250908	beat-VII
CG42244	FBgn0250910	OctÎ²3R
CG42252	FBgn0259110	mmd
CG42256	FBgn0265296	Dscam2
CG42258	FBgn0259143	CG42258
CG42260	FBgn0259145	CG42260
CG42265	FBgn0259150	OtopLc
CG42268	FBgn0259163	CG42268
CG42273	FBgn0259168	mnb
CG42275	FBgn0259170	Î±-Man-Ia
CG42276	FBgn0259171	Pde9
CG42278	FBgn0259173	corn
CG42279	FBgn0259174	Nedd4
CG42281	FBgn0259176	bun
CG4230	FBgn0031683	CG4230
CG42313	FBgn0259213	side-II
CG42314	FBgn0259214	PMCA
CG42317	FBgn0262081	Csk
CG42320	FBgn0265998	Doa
CG42321	FBgn0259221	ATP8A
CG42322	FBgn0259222	CG42322
CG42328	FBgn0259228	C3G
CG42332	FBgn0287478	Camta
CG42337	FBgn0259239	CG42337
CG42338	FBgn0267001	Ten-a
CG42340	FBgn0259242	CG42340
CG42341	FBgn0259243	Pka-R1
CG42342	FBgn0259244	CG42342
CG42344	FBgn0259246	brp
CG42361	FBgn0259707	CG42361
CG42389	FBgn0259735	mtgo
CG42392	FBgn0259738	CG42392
CG42396	FBgn0259745	wech
CG42450	FBgn0259927	CG42450
CG42492	FBgn0259994	OtopLa
CG4254	FBgn0011726	tsr
CG42540	FBgn0260657	CG42540
CG42541	FBgn0260658	CG42541
CG42543	FBgn0260660	Mp
CG42551	FBgn0261618	larp
CG4257	FBgn0016917	Stat92E
CG42574	FBgn0260794	ctrip
CG42575	FBgn0260795	NaPi-III
CG42593	FBgn0260970	Ubr3
CG42595	FBgn0262124	uex
CG4260	FBgn0264855	AP-2Î±
CG4261	FBgn0022787	Hel89B
CG42613	FBgn0261262	CG42613
CG42616	FBgn0261268	Cul3
CG4262	FBgn0260400	elav
CG4264	FBgn0266599	Hsc70-4
CG42667	FBgn0261549	rdgA
CG42668	FBgn0261550	CG42668
CG42670	FBgn0261552	ps
CG42671	FBgn0261553	CG42671
CG42674	FBgn0261556	CG42674
CG42678	FBgn0261564	ReepA
CG4268	FBgn0016696	Pitslre
CG42684	FBgn0261570	raskol
CG42724	FBgn0261641	CG42724
CG42732	FBgn0261698	SLO2
CG42734	FBgn0261788	Ank2
CG42739	FBgn0261703	gce
CG42748	FBgn0261802	CG42748
CG42750	FBgn0261804	CG42750
CG42768	FBgn0261836	Msp300
CG42783	FBgn0261854	aPKC
CG42788	FBgn0261859	CG42788
CG42795	FBgn0261928	CG42795
CG42799	FBgn0261934	dikar
CG42803	FBgn0264495	gpp
CG42813	FBgn0261995	CG42813
CG4294	FBgn0034742	CG4294
CG43066	FBgn0262476	CG43066
CG43067	FBgn0262477	FoxP
CG4307	FBgn0016691	ATPsynO
CG43073	FBgn0262483	Rbp
CG43079	FBgn0262509	nrm
CG43122	FBgn0262582	cic
CG43128	FBgn0262593	Shab
CG43143	FBgn0262617	Nuak
CG43154	FBgn0266019	rudhira
CG43162	FBgn0263929	jvl
CG4320	FBgn0029840	raptor
CG43224	FBgn0262869	Gfrl
CG43227	FBgn0262872	milt
CG43324	FBgn0263029	CG43324
CG43347	FBgn0263072	CG43347
CG43365	FBgn0263108	BtbVII
CG43368	FBgn0041188	Atx2
CG43368	FBgn0263111	cac
CG43388	FBgn0263220	Hk
CG43395	FBgn0263257	Cngl
CG43398	FBgn0263289	scrib
CG43427	FBgn0263346	smash
CG43443	FBgn0263391	hts
CG43444	FBgn0263392	Tet
CG43479	FBgn0263456	nwk
CG4353	FBgn0010303	hep
CG4356	FBgn0000037	mAChR-A
CG4364	FBgn0032138	CG4364
CG4365	FBgn0037024	tzn
CG43690	FBgn0263773	fok
CG43729	FBgn0263980	Stacl
CG43736	FBgn0263993	CG43736
CG43737	FBgn0263994	CG43737
CG43738	FBgn0263995	cpo
CG43743	FBgn0264000	GluRIB
CG43744	FBgn0264001	bru3
CG43749	FBgn0264006	dysc
CG43756	FBgn0264087	Slob
CG43770	FBgn0264270	Sxl
CG43778	FBgn0264308	hbt
CG43782	FBgn0264307	orb2
CG4379	FBgn0000273	Pka-C1
CG4385	FBgn0003310	S
CG43867	FBgn0264449	CG43867
CG43901	FBgn0264502	CG43901
CG43921	FBgn0264542	hwt
CG43946	FBgn0264574	Glut1
CG43947	FBgn0264598	PsGEF
CG43955	FBgn0264606	Fife
CG4396	FBgn0086675	fne
CG43976	FBgn0264707	RhoGEF3
CG4399	FBgn0261954	east
CG44007	FBgn0264815	Pde1c
CG44086	FBgn0264895	RapGAP1
CG44099	FBgn0264908	pHCl-1
CG4412	FBgn0016119	ATPsynCF6
CG44193	FBgn0265082	Cdep
CG4422	FBgn0004868	Gdi
CG44242	FBgn0265177	CG44242
CG4427	FBgn0043364	cbt
CG4429	FBgn0262734	eIF4H1
CG44424	FBgn0265597	rad
CG44436	FBgn0265630	sno
CG4444	FBgn0003175	px
CG4453	FBgn0061200	Nup153
CG4464	FBgn0010412	RpS19a
CG4467	FBgn0039064	CG4467
CG44774	FBgn0266000	CG44774
CG44838	FBgn0266101	CG44838
CG4491	FBgn0005771	noc
CG4494	FBgn0264922	Sumo
CG45002	FBgn0266354	CG45002
CG4502	FBgn0031896	CG4502
CG45049	FBgn0266409	CG45049
CG45050	FBgn0266410	CG45050
CG45051	FBgn0266411	sima
CG45057	FBgn0266417	ringer
CG45074	FBgn0266450	Kr-h1
CG45110	FBgn0266579	tau
CG4523	FBgn0029891	Pink1
CG4527	FBgn0035001	Slik
CG4528	FBgn0003449	snf
CG4535	FBgn0029174	Fkbp59
CG45477	FBgn0267033	mamo
CG4548	FBgn0039338	XNP
CG4550	FBgn0002940	ninaE
CG4551	FBgn0016930	Dyrk2
CG4574	FBgn0004611	Plc21C
CG4587	FBgn0028863	stol
CG4599	FBgn0032586	Tpr2
CG4609	FBgn0014163	fax
CG4612	FBgn0035016	CG4612
CG4634	FBgn0016687	Nurf-38
CG4636	FBgn0041781	SCAR
CG46385	FBgn0286778	CG46385
CG4643	FBgn0043010	Fsn
CG4647	FBgn0030433	mRpL49
CG4651	FBgn0011272	RpL13
CG4654	FBgn0011763	Dp
CG4662	FBgn0038735	MICU3
CG4672	FBgn0028399	Serinc
CG4678	FBgn0030778	CG4678
CG4685	FBgn0039349	Ssadh
CG4692	FBgn0035032	ATPsynF
CG4699	FBgn0262527	nsl1
CG4747	FBgn0043456	Ndf
CG4758	FBgn0011584	Trp1
CG4759	FBgn0039359	RpL27
CG4760	FBgn0011206	bol
CG4768	FBgn0030790	CG4768
CG4769	FBgn0035600	Cyt-c1
CG4789	FBgn0030792	CG4789
CG4800	FBgn0037874	Tctp
CG4857	FBgn0026083	tyf
CG4863	FBgn0020910	RpL3
CG4878	FBgn0034237	eIF3b
CG4887	FBgn0031318	CG4887
CG4894	FBgn0001991	Ca-Î±1D
CG4896	FBgn0031319	CG4896
CG4897	FBgn0005593	RpL7
CG4898	FBgn0003721	Tm1
CG4903	FBgn0034240	MESR4
CG4911	FBgn0035959	CG4911
CG4916	FBgn0004419	me31B
CG4918	FBgn0003274	RpLP2
CG4921	FBgn0016701	Rab4
CG4943	FBgn0029006	Smurf
CG4954	FBgn0034258	eIF3c
CG4974	FBgn0263930	dally
CG4994	FBgn0026409	Mpcp2
CG4999	FBgn0035936	Tsp66E
CG5000	FBgn0027948	msps
CG5010	FBgn0260747	Chchd2
CG5012	FBgn0011787	mRpL12
CG5014	FBgn0029687	Vap33
CG5020	FBgn0020503	CLIP-190
CG5021	FBgn0035944	CG5021
CG5028	FBgn0039358	CG5028
CG5034	FBgn0032223	GATAd
CG5036	FBgn0028743	Dhit
CG5053	FBgn0261986	RASSF8
CG5059	FBgn0037007	BNIP3
CG5065	FBgn0034145	CG5065
CG5068	FBgn0035951	CG5068
CG5073	FBgn0038331	Ccm3
CG5081	FBgn0267849	Syx7
CG5099	FBgn0011666	msi
CG5102	FBgn0267821	da
CG5119	FBgn0265297	pAbp
CG5146	FBgn0035617	l(3)psg2
CG5151	FBgn0036576	CG5151
CG5163	FBgn0013347	TfIIA-S
CG5166	FBgn0041188	Atx2
CG5174	FBgn0034345	CG5174
CG5183	FBgn0267330	KdelR
CG5212	FBgn0025574	Pli
CG5214	FBgn0037891	CG5214
CG5216	FBgn0024291	Sirt1
CG5237	FBgn0038693	unc79
CG5249	FBgn0035625	Blimp-1
CG5261	FBgn0283658	muc
CG5269	FBgn0267975	vib
CG5271	FBgn0003942	RpS27A
CG5277	FBgn0025366	Ip259
CG5315	FBgn0038984	AdipoR
CG5320	FBgn0001098	Gdh
CG5325	FBgn0032407	Pex19
CG5330	FBgn0015268	Nap1
CG5337	FBgn0032249	TBC1D16
CG5362	FBgn0262782	Mdh1
CG5375	FBgn0032221	Schip1
CG5385	FBgn0267365	l(2)SH0834
CG5387	FBgn0027491	Cdk5Î±
CG5405	FBgn0020647	KrT95D
CG5407	FBgn0038504	Sur-8
CG5422	FBgn0005649	Rox8
CG5442	FBgn0265298	SC35
CG5444	FBgn0010280	Taf4
CG5446	FBgn0032429	CG5446
CG5472	FBgn0262728	Pal2
CG5482	FBgn0034368	zda
CG5486	FBgn0016756	Usp47
CG5490	FBgn0262473	Tl
CG5497	FBgn0034361	mRpS28
CG5499	FBgn0001197	His2Av
CG5502	FBgn0003279	RpL4
CG5522	FBgn0034158	CG5522
CG5532	FBgn0034902	CG5532
CG5546	FBgn0036761	MED19
CG5547	FBgn0032482	Pect
CG5548	FBgn0030605	ND-B18
CG5580	FBgn0285917	sbb
CG5594	FBgn0261794	kcc
CG5604	FBgn0032208	Ufd4
CG5610	FBgn0000036	nAChRÎ±1
CG5627	FBgn0030613	Rab3-GEF
CG5629	FBgn0261285	Ppcs
CG5634	FBgn0039528	dsd
CG5642	FBgn0036258	eIF3l
CG5643	FBgn0027492	wdb
CG5650	FBgn0004103	Pp1-87B
CG5651	FBgn0086706	pix
CG5654	FBgn0022959	yps
CG5655	FBgn0011305	Rsf1
CG5657	FBgn0038042	ScgÎ²
CG5658	FBgn0004387	Klp98A
CG5659	FBgn0017418	ari-1
CG5670	FBgn0002921	AtpÎ±
CG5676	FBgn0032200	CG5676
CG5680	FBgn0000229	bsk
CG5703	FBgn0030853	ND-24
CG5708	FBgn0032196	CG5708
CG5720	FBgn0028471	Nab2
CG5723	FBgn0004449	Ten-m
CG5738	FBgn0022238	lolal
CG5744	FBgn0030897	Frq1
CG5746	FBgn0039186	CG5746
CG5753	FBgn0003520	stau
CG5758	FBgn0032666	CG5758
CG5771	FBgn0015790	Rab11
CG5784	FBgn0034282	Mapmodulin
CG5788	FBgn0026316	Ubc10
CG5813	FBgn0000307	chif
CG5825	FBgn0014857	His3.3A
CG5826	FBgn0038519	Prx3
CG5827	FBgn0261608	RpL37A
CG5848	FBgn0000250	cact
CG5855	FBgn0000339	cni
CG5861	FBgn0015338	CG5861
CG5864	FBgn0039132	AP-1Ï
CG5870	FBgn0250788	Î²-Spec
CG5887	FBgn0086687	Desat1
CG5889	FBgn0029155	Men-b
CG5890	FBgn0039380	CG5890
CG5903	FBgn0038400	Mic26-27
CG5915	FBgn0015795	Rab7
CG5920	FBgn0004867	RpS2
CG5935	FBgn0026533	Dek
CG5938	FBgn0046247	CG5938
CG5946	FBgn0036211	CG5946
CG5962	FBgn0000121	Arr2
CG5972	FBgn0284255	Arpc4
CG6008	FBgn0027785	NP15.6
CG6014	FBgn0261258	rgn
CG6016	FBgn0033844	bbc
CG6020	FBgn0037001	ND-39
CG6022	FBgn0038925	Cchl
CG6024	FBgn0036202	loaf
CG6027	FBgn0004876	cdi
CG6030	FBgn0016120	ATPsynD
CG6033	FBgn0004638	drk
CG6044	FBgn0034725	CG6044
CG6049	FBgn0037081	barc
CG6051	FBgn0039492	CG6051
CG6056	FBgn0043012	AP-2Ï
CG6058	FBgn0000064	Ald1
CG6064	FBgn0036746	Crtc
CG6072	FBgn0086370	sra
CG6090	FBgn0039406	RpL34a
CG6092	FBgn0028833	Cmpk
CG6103	FBgn0265784	CrebB
CG6105	FBgn0010612	ATPsynG
CG6115	FBgn0040985	CG6115
CG6141	FBgn0015756	RpL9
CG6143	FBgn0004401	Pep
CG6146	FBgn0004924	Top1
CG6151	FBgn0261722	fwe
CG6169	FBgn0036534	DCP2
CG6170	FBgn0026428	HDAC6
CG6203	FBgn0028734	Fmr1
CG6207	FBgn0036144	GlcAT-P
CG6213	FBgn0283536	Vha13
CG6218	FBgn0038321	CG6218
CG6233	FBgn0036136	Ufd1
CG6235	FBgn0004889	tws
CG6253	FBgn0017579	RpL14
CG6292	FBgn0025455	CycT
CG6297	FBgn0020412	JIL-1
CG6302	FBgn0010741	Pfdn2
CG6303	FBgn0266717	Bruce
CG6311	FBgn0036735	Edc3
CG6315	FBgn0000662	fl(2)d
CG6323	FBgn0039465	Tsp97E
CG6329	FBgn0033872	CG6329
CG6340	FBgn0030648	CG6340
CG6341	FBgn0028737	eEF1Î²
CG6343	FBgn0019957	ND-42
CG6359	FBgn0038065	Snx3
CG6376	FBgn0011766	E2f1
CG6391	FBgn0036111	Aps
CG6395	FBgn0004179	Csp
CG6412	FBgn0032646	mEFTs
CG6422	FBgn0039261	Ythdf
CG6438	FBgn0023179	amon
CG6439	FBgn0038922	Idh3b
CG6455	FBgn0019960	Mitofilin
CG6463	FBgn0047038	ND-13B
CG6463	FBgn0053493	CG33493
CG6498	FBgn0267390	dop
CG6510	FBgn0010409	RpL18A
CG6513	FBgn0061515	endos
CG6575	FBgn0015229	glec
CG6582	FBgn0286781	cass
CG6584	FBgn0267376	SelR
CG6588	FBgn0285925	Fas1
CG6593	FBgn0003134	Pp1Î±-96A
CG6603	FBgn0026418	Hsc70Cb
CG6605	FBgn0000183	BicD
CG6606	FBgn0027335	Rip11
CG6617	FBgn0030944	Hou
CG6622	FBgn0003091	Pkc53E
CG6625	FBgn0250791	Î±Snap
CG6647	FBgn0004363	porin
CG6666	FBgn0037873	SdhC
CG6671	FBgn0262739	AGO1
CG6684	FBgn0086472	RpS25
CG6692	FBgn0013770	Cp1
CG6700	FBgn0032305	CG6700
CG6702	FBgn0004580	Cbp53E
CG6703	FBgn0013759	CASK
CG6707	FBgn0036058	CG6707
CG6750	FBgn0032292	EMC3
CG6764	FBgn0037899	RpL24-like
CG6767	FBgn0036030	Prps
CG6770	FBgn0032400	CG6770
CG6779	FBgn0002622	RpS3
CG6783	FBgn0037913	fabp
CG6831	FBgn0260442	rhea
CG6840	FBgn0032634	Polr2J
CG6842	FBgn0283469	Vps4
CG6846	FBgn0036825	RpL26
CG6851	FBgn0027786	Mtch
CG6852	FBgn0036820	Grx1
CG6866	FBgn0032515	loqs
CG6877	FBgn0036813	Atg3
CG6878	FBgn0036488	CG6878
CG6889	FBgn0040071	tara
CG6930	FBgn0265276	l(3)neo38
CG6946	FBgn0259139	glo
CG6948	FBgn0024814	Clc
CG6963	FBgn0250823	gish
CG6964	FBgn0010825	Gug
CG6966	FBgn0038286	CG6966
CG6987	FBgn0283477	SF2
CG6995	FBgn0039229	Saf-B
CG6998	FBgn0011760	ctp
CG7004	FBgn0004373	fwd
CG7007	FBgn0028662	VhaPPA1-1
CG7010	FBgn0028325	Pdha
CG7015	FBgn0263352	Unr
CG7020	FBgn0024806	DIP2
CG7029	FBgn0039026	CG7029
CG7036	FBgn0035106	rno
CG7037	FBgn0020224	Cbl
CG7048	FBgn0038976	Pfdn5
CG7050	FBgn0038975	Nrx-1
CG7070	FBgn0267385	PyK
CG7073	FBgn0038947	Sar1
CG7085	FBgn0267378	sau
CG7097	FBgn0263395	hppy
CG7100	FBgn0015609	CadN
CG7109	FBgn0004177	mts
CG7111	FBgn0020618	Rack1
CG7115	FBgn0027515	CG7115
CG7129	FBgn0010877	l(3)05822
CG7134	FBgn0031952	cdc14
CG7145	FBgn0037138	P5CDh1
CG7147	FBgn0259984	kuz
CG7180	FBgn0267486	Ptp36E
CG7181	FBgn0263911	COX8
CG7187	FBgn0011481	Ssdp
CG7188	FBgn0035871	BI-1
CG7220	FBgn0033544	CG7220
CG7250	FBgn0036494	Toll-6
CG7254	FBgn0004507	GlyP
CG7269	FBgn0014189	Hel25E
CG7283	FBgn0036213	RpL10Ab
CG7332	FBgn0030973	CG7332
CG7337	FBgn0031374	Wdr62
CG7358	FBgn0030974	Flacc
CG7361	FBgn0021906	RFeSP
CG7378	FBgn0030976	CG7378
CG7382	FBgn0031708	CG7382
CG7392	FBgn0044323	Cka
CG7398	FBgn0024921	Tnpo
CG7407	FBgn0037134	CG7407
CG7414	FBgn0037135	CG7414
CG7424	FBgn0031980	RpL36A
CG7425	FBgn0011217	eff
CG7430	FBgn0036762	CG7430
CG7433	FBgn0036927	Gabat
CG7437	FBgn0262737	mub
CG7439	FBgn0087035	AGO2
CG7467	FBgn0261885	osa
CG7490	FBgn0000100	RpLP0
CG7503	FBgn0005775	Con
CG7507	FBgn0261797	Dhc64C
CG7518	FBgn0038108	CG7518
CG7533	FBgn0036165	chrb
CG7535	FBgn0024963	GluClÎ±
CG7576	FBgn0005586	Rab3
CG7580	FBgn0036728	UQCR-Q
CG7583	FBgn0020496	CtBP
CG7590	FBgn0041094	scyl
CG7597	FBgn0037093	Cdk12
CG7603	FBgn0036726	QIL1
CG7610	FBgn0020235	ATPsynÎ³
CG7619	FBgn0015283	Rpn10
CG7622	FBgn0002579	RpL36
CG7625	FBgn0028663	VhaM9.7-b
CG7626	FBgn0040273	Spt5
CG7630	FBgn0040793	CG7630
CG7641	FBgn0013303	Nca
CG7646	FBgn0036926	CG7646
CG7654	FBgn0036928	Tom20
CG7664	FBgn0001994	crp
CG7686	FBgn0027525	LTV1
CG7712	FBgn0033570	ND-B14
CG7726	FBgn0013325	RpL11
CG7727	FBgn0000108	Appl
CG7736	FBgn0037084	Syx6
CG7761	FBgn0033988	pcs
CG7770	FBgn0036918	Pfdn6
CG7776	FBgn0000581	E(Pc)
CG7781	FBgn0032021	CG7781
CG7808	FBgn0039713	RpS8
CG7823	FBgn0036921	RhoGDI
CG7832	FBgn0086686	l(3)L1231
CG7843	FBgn0033062	Ars2
CG7891	FBgn0037551	Arl8
CG7892	FBgn0011817	nmo
CG7913	FBgn0042693	wrd
CG7920	FBgn0039737	CG7920
CG7921	FBgn0039738	Mgat2
CG7925	FBgn0003714	tko
CG7939	FBgn0002626	RpL32
CG7945	FBgn0036505	CG7945
CG7958	FBgn0026160	tna
CG7962	FBgn0010350	Cds
CG7967	FBgn0035251	Vta1
CG7971	FBgn0035253	Srrm234
CG7977	FBgn0026372	RpL23A
CG7990	FBgn0030997	CG7990
CG7998	FBgn0262559	Mdh2
CG8029	FBgn0262515	VhaAC45
CG8048	FBgn0287825	Vha44
CG8053	FBgn0026250	eIF1A
CG8055	FBgn0086656	shrb
CG8057	FBgn0260972	alc
CG8103	FBgn0262519	Mi-2
CG8104	FBgn0036059	nudE
CG8108	FBgn0027567	Ciz1
CG8110	FBgn0024187	syd
CG8118	FBgn0002643	mam
CG8127	FBgn0000568	Eip75B
CG8156	FBgn0013750	Arf51F
CG8174	FBgn0286813	SRPK
CG8177	FBgn0036043	Ae2
CG8183	FBgn0019968	Khc-73
CG8184	FBgn0030674	HUWE1
CG8186	FBgn0022097	Vha36-1
CG8188	FBgn0030863	CG8188
CG8189	FBgn0019644	ATPsynB
CG8198	FBgn0026666	MagR
CG8200	FBgn0024754	Flo1
CG8201	FBgn0260934	par-1
CG8210	FBgn0262512	Vha14-1
CG8224	FBgn0011300	babo
CG8226	FBgn0033357	Tom7
CG8229	FBgn0033356	CG8229
CG8250	FBgn0040505	Alk
CG8251	FBgn0003074	Pgi
CG8253	FBgn0034046	tun
CG8261	FBgn0004921	GÎ³1
CG8268	FBgn0035827	Srp9
CG8276	FBgn0263144	bin3
CG8279	FBgn0038237	Pde6
CG8280	FBgn0284245	eEF1Î±1
CG8289	FBgn0030854	CG8289
CG8295	FBgn0034051	Mlf
