SYMBOL	FLYBASE	GENENAME	module
lncRNA:roX1	FBgn0019661	long non-coding RNA on the X 1	3
mAcon1	FBgn0010100	Mitochondrial aconitase 1	3
MagR	FBgn0026666	Magnetic receptor	3
Marf	FBgn0029870	Mitochondrial assembly regulatory factor	3
Mdh1	FBgn0262782	Malate dehydrogenase 1	3
mEFTs	FBgn0032646	mitochondrial translation elongation factor Ts	3
mEFTu1	FBgn0024556	mitochondrial translation elongation factor Tu 1	3
Men-b	FBgn0029155	Malic enzyme b	3
mge	FBgn0035473	maggie	3
Mic26-27	NA	NA	3
Miro	FBgn0039140	Mitochondrial Rho	3
Mitofilin	FBgn0019960	mitofilin	3
Mpcp2	FBgn0026409	Mitochondrial phosphate carrier protein 2	3
mRpL1	FBgn0037566	mitochondrial ribosomal protein L1	3
mRpL10	FBgn0031231	mitochondrial ribosomal protein L10	3
mRpL12	FBgn0011787	mitochondrial ribosomal protein L12	3
mRpL13	FBgn0032720	mitochondrial ribosomal protein L13	3
mRpL14	FBgn0040389	mitochondrial ribosomal protein L14	3
mRpL16	FBgn0023519	mitochondrial ribosomal protein L16	3
mRpL17	FBgn0035122	mitochondrial ribosomal protein L17	3
mRpL18	FBgn0026741	mitochondrial ribosomal protein L18	3
mRpL19	FBgn0037608	mitochondrial ribosomal protein L19	3
mRpL2	FBgn0036135	mitochondrial ribosomal protein L2	3
mRpL21	FBgn0036853	mitochondrial ribosomal protein L21	3
mRpL22	FBgn0030786	mitochondrial ribosomal protein L22	3
mRpL23	FBgn0035335	mitochondrial ribosomal protein L23	3
mRpL24	FBgn0031651	mitochondrial ribosomal protein L24	3
mRpL27	FBgn0053002	mitochondrial ribosomal protein L27	3
mRpL28	FBgn0031660	mitochondrial ribosomal protein L28	3
mRpL30	FBgn0029718	mitochondrial ribosomal protein L30	3
mRpL33	FBgn0040907	mitochondrial ribosomal protein L33	3
mRpL34	FBgn0083983	mitochondrial ribosomal protein L34	3
mRpL35	FBgn0038923	mitochondrial ribosomal protein L35	3
mRpL36	FBgn0042112	mitochondrial ribosomal protein L36	3
mRpL4	FBgn0001995	mitochondrial ribosomal protein L4	3
mRpL41	FBgn0034001	mitochondrial ribosomal protein L41	3
mRpL42	FBgn0033480	mitochondrial ribosomal protein L42	3
mRpL43	FBgn0034893	mitochondrial ribosomal protein L43	3
mRpL47	FBgn0014023	mitochondrial ribosomal protein L47	3
mRpL48	FBgn0031357	mitochondrial ribosomal protein L48	3
mRpL49	FBgn0030433	mitochondrial ribosomal protein L49	3
mRpL50	FBgn0028648	mitochondrial ribosomal protein L50	3
mRpL52	FBgn0033208	mitochondrial ribosomal protein L52	3
mRpL54	FBgn0034579	mitochondrial ribosomal protein L54	3
mRpL55	FBgn0038678	mitochondrial ribosomal protein L55	3
mRpS10	FBgn0038307	mitochondrial ribosomal protein S10	3
mRpS11	FBgn0038474	mitochondrial ribosomal protein S11	3
mRpS14	FBgn0044030	mitochondrial ribosomal protein S14	3
mRpS16	FBgn0033907	mitochondrial ribosomal protein S16	3
mRpS17	FBgn0034986	mitochondrial ribosomal protein S17	3
mRpS18A	FBgn0051450	mitochondrial ribosomal protein S18A	3
mRpS18C	FBgn0039765	mitochondrial ribosomal protein S18C	3
mRpS21	FBgn0044511	mitochondrial ribosomal protein S21	3
mRpS24	FBgn0039159	mitochondrial ribosomal protein S24	3
mRpS25	FBgn0030572	mitochondrial ribosomal protein S25	3
mRpS26	FBgn0036774	mitochondrial ribosomal protein S26	3
mRpS28	FBgn0034361	mitochondrial ribosomal protein S28	3
mRpS31	FBgn0036557	mitochondrial ribosomal protein S31	3
mRpS33	FBgn0038426	mitochondrial ribosomal protein S33	3
mRpS5	FBgn0287187	mitochondrial ribosomal protein S5	3
mRpS6	FBgn0035534	mitochondrial ribosomal protein S6	3
mRpS7	FBgn0032236	mitochondrial ribosomal protein S7	3
mRpS9	FBgn0037529	mitochondrial ribosomal protein S9	3
MSBP	FBgn0030703	membrane steroid binding protein	3
Mtch	FBgn0027786	Mitochondrial carrier homolog 1	3
muc	FBgn0283658	midline uncoordinated	3
Naa80	FBgn0037747	N(alpha)-acetyltransferase 80	3
ND-13A	FBgn0031684	NADH dehydrogenase (ubiquinone) 13 kDa A subunit	3
ND-13B	FBgn0047038	NADH dehydrogenase (ubiquinone) 13 kDa B subunit	3
ND-15	FBgn0031228	NADH dehydrogenase (ubiquinone) 15 kDa subunit	3
ND-18	FBgn0031021	NADH dehydrogenase (ubiquinone) 18 kDa subunit	3
ND-19	FBgn0035046	NADH dehydrogenase (ubiquinone) 19 kDa subunit	3
ND-20	FBgn0030718	NADH dehydrogenase (ubiquinone) 20 kDa subunit	3
ND-23	FBgn0017567	NADH dehydrogenase (ubiquinone) 23 kDa subunit	3
ND-24	FBgn0030853	NADH dehydrogenase (ubiquinone) 24 kDa subunit	3
ND-30	FBgn0266582	NADH dehydrogenase (ubiquinone) 30 kDa subunit	3
ND-39	FBgn0037001	NADH dehydrogenase (ubiquinone) 39 kDa subunit	3
ND-42	FBgn0019957	NADH dehydrogenase (ubiquinone) 42 kDa subunit	3
ND-49	FBgn0039909	NADH dehydrogenase (ubiquinone) 49 kDa subunit	3
ND-51	FBgn0031771	NADH dehydrogenase (ubiquinone) 51 kDa subunit	3
ND-75	FBgn0017566	NADH dehydrogenase (ubiquinone) 75 kDa subunit	3
ND-ACP	FBgn0011361	NADH dehydrogenase (ubiquinone) acyl carrier protein	3
ND-AGGG	FBgn0058002	NADH dehydrogenase (ubiquinone) AGGG subunit	3
ND-ASHI	FBgn0029888	NADH dehydrogenase (ubiquinone) ASHI subunit	3
ND-B12	FBgn0034645	NADH dehydrogenase (ubiquinone) B12 subunit	3
ND-B14	FBgn0033570	NADH dehydrogenase (ubiquinone) B14 subunit	3
ND-B14.5A	FBgn0025839	NADH dehydrogenase (ubiquinone) B14.5 A subunit	3
ND-B14.5B	FBgn0031505	NADH dehydrogenase (ubiquinone) B14.5 B subunit	3
ND-B14.7	FBgn0034576	NADH dehydrogenase (ubiquinone) B14.7 subunit	3
ND-B15	FBgn0033961	NADH dehydrogenase (ubiquinone) B15 subunit	3
ND-B16.6	FBgn0029868	NADH dehydrogenase (ubiquinone) B16.6 subunit	3
ND-B17	FBgn0001989	NADH dehydrogenase (ubiquinone) B17 subunit	3
ND-B17.2	FBgn0031436	NADH dehydrogenase (ubiquinone) B17.2 subunit	3
ND-B18	FBgn0030605	NADH dehydrogenase (ubiquinone) B18 subunit	3
ND-B22	FBgn0032511	NADH dehydrogenase (ubiquinone) B22 subunit	3
ND-MLRQ	FBgn0052230	NADH dehydrogenase (ubiquinone) MLRQ subunit	3
ND-MWFE	FBgn0085468	NADH dehydrogenase (ubiquinone) MWFE subunit	3
ND-PDSW	FBgn0021967	NADH dehydrogenase (ubiquinone) PDSW subunit	3
ND-SGDH	FBgn0011455	NADH dehydrogenase (ubiquinone) SGDH subunit	3
Neb-cGP	FBgn0083167	Neb-cGP	3
nebu	NA	NA	3
Nfs1	FBgn0032393	Nfs1 cysteine desulfurase	3
Nmnat	FBgn0039254	Nicotinamide mononucleotide adenylyltransferase	3
Non1	FBgn0028473	Novel nucleolar protein 1	3
NP15.6	FBgn0027785	NP15.6	3
Nt5c	NA	NA	3
Ogdh	NA	NA	3
Opa1	FBgn0261276	Optic atrophy 1	3
ox	FBgn0011227	oxen	3
p23	FBgn0037728	p23	3
P32	FBgn0034259	P32	3
P5CDh1	FBgn0037138	delta-1-Pyrroline-5-carboxylate dehydrogenase 1	3
P5cr	FBgn0015781	Pyrroline 5-carboyxlate reductase	3
Pcyt1	FBgn0041342	Phosphocholine cytidylyltransferase 1	3
Pdha	FBgn0028325	Pyruvate dehydrogenase E1 alpha subunit	3
Pdhb	FBgn0039635	Pyruvate dehydrogenase E1 beta subunit	3
Pect	FBgn0032482	Phosphoethanolamine cytidylyltransferase	3
Pex19	FBgn0032407	Peroxin 19	3
Pfdn2	FBgn0010741	Prefoldin 2	3
Pfdn5	FBgn0038976	Prefoldin 5	3
Pglym78	FBgn0014869	Phosphoglyceromutase 78	3
Phb2	FBgn0010551	Prohibitin 2	3
PheRS-m	FBgn0275436	Phenylalanyl-tRNA synthetase, mitochondrial	3
PhKgamma	FBgn0011754	Phosphorylase kinase gamma	3
POLDIP2	FBgn0037329	Polymerase (DNA-directed), delta interacting protein 2	3
Polr2L	NA	NA	3
porin	FBgn0004363	porin	3
PrBP	FBgn0032059	Prenyl-binding protein	3
prel	FBgn0033413	preli-like	3
Prosalpha5	FBgn0016697	Proteasome alpha5 subunit	3
Prx3	FBgn0038519	Peroxiredoxin 3	3
QIL1	FBgn0036726	QIL1	3
RFeSP	FBgn0021906	Rieske iron-sulfur protein	3
RIC-3	FBgn0050296	RIC3 acetylcholine receptor chaperone	3
Rim2	FBgn0031359	Replication in mitochondria 2	3
Roe1	FBgn0014877	Roe1	3
roh	FBgn0250838	reduction of Rh1	3
RpL15	FBgn0028697	Ribosomal protein L15	3
RpL24-like	FBgn0037899	Ribosomal protein L24-like	3
Sam-S	FBgn0005278	S-adenosylmethionine Synthetase	3
san	FBgn0024188	separation anxiety	3
Scox	FBgn0262467	Synthesis of cytochrome c oxidase	3
Scsalpha1	FBgn0004888	Succinyl-coenzyme A synthetase alpha subunit 1	3
ScsbetaA	FBgn0037643	Succinyl-coenzyme A synthetase beta subunit, ADP-forming	3
SdhA	FBgn0261439	Succinate dehydrogenase, subunit A (flavoprotein)	3
SdhB	FBgn0014028	Succinate dehydrogenase, subunit B (iron-sulfur)	3
SdhC	FBgn0037873	Succinate dehydrogenase, subunit C	3
SdhD	FBgn0039112	Succinate dehydrogenase, subunit D	3
Sem1	FBgn0266666	Suppressor of exocyst mutations 1	3
sesB	FBgn0003360	stress-sensitive B	3
Sf3b5	FBgn0040534	Splicing factor 3b subunit 5	3
Sirup	FBgn0031971	Starvation-upregulated protein	3
slmo	FBgn0029161	slowmo	3
Sod1	FBgn0003462	Superoxide dismutase 1	3
Sod2	FBgn0010213	Superoxide dismutase 2 (Mn)	3
spen	FBgn0016977	split ends	3
Ssadh	FBgn0039349	Succinic semialdehyde dehydrogenase	3
Stoml2	FBgn0034936	Stomatin like 2	3
Su(P)	FBgn0004465	Suppressor of ref(2)P sterility	3
Syngr	FBgn0033876	Synaptogyrin	3
Syx13	FBgn0036341	Syntaxin 13	3
Tim17b	FBgn0263977	Translocase of the inner mitochondrial membrane 17b	3
Tim23	FBgn0267976	Translocase of inner mitochondrial membrane 23	3
Tim8	FBgn0027359	Tim8	3
Tim9a	FBgn0030480	Tim9a	3
Tina-1	FBgn0035083	Troponin C-akin-1	3
tko	FBgn0003714	technical knockout	3
Tom20	FBgn0036928	Translocase of outer membrane 20	3
Tom40	FBgn0016041	Translocase of outer membrane 40	3
Tom7	FBgn0033357	Translocase of outer membrane 7	3
Tpr2	FBgn0032586	Tetratricopeptide repeat protein 2	3
Trx-2	FBgn0040070	thioredoxin-2	3
Trxr-1	FBgn0020653	Thioredoxin reductase-1	3
Ubc10	FBgn0026316	Ubiquitin conjugating enzyme 10	3
Ufd1	NA	NA	3
UQCR-11	FBgn0260008	Ubiquinol-cytochrome c reductase 11 kDa subunit	3
UQCR-14	FBgn0030733	Ubiquinol-cytochrome c reductase 14 kDa subunit	3
UQCR-6.4	FBgn0034245	Ubiquinol-cytochrome c reductase 6.4 kDa subunit	3
UQCR-C1	FBgn0038271	Ubiquinol-cytochrome c reductase core protein 1	3
UQCR-C2	FBgn0250814	Ubiquinol-cytochrome c reductase core protein 2	3
UQCR-Q	FBgn0036728	Ubiquinol-cytochrome c reductase ubiquinone-binding protein	3
Urod	FBgn0033428	Uroporphyrinogen decarboxylase	3
Usf	FBgn0029711	Usf	3
Vamp7	FBgn0266186	Vesicle-associated membrane protein 7	3
VhaM9.7-b	FBgn0028663	Vacuolar H[+] ATPase M9.7 subunit b	3
vig2	FBgn0046214	vig2	3
Vps60	FBgn0036740	Vacuolar protein sorting 60	3
Xxylt	FBgn0034959	Xyloside xylosyltransferase	3
ZnT49B	FBgn0033762	Zinc transporter 49B	3
14-3-3zeta	FBgn0004907	14-3-3zeta	4
5PtaseI	FBgn0259178	5PtaseI	4
AdipoR	FBgn0038984	Adiponectin receptor	4
AdSS	FBgn0027493	Adenylosuccinate Synthetase	4
Ae2	FBgn0036043	Anion exchanger 2	4
Agpat3	FBgn0036623	1-Acylglycerol-3-phosphate O-acyltransferase 3	4
AIMP3	FBgn0050185	aaRS-interacting multifunctional protein 3	4
alc	FBgn0260972	alicorn	4
alpha4GT1	FBgn0031491	alpha1,4-galactosyltransferase 1	4
AMPKalpha	FBgn0023169	AMP-activated protein kinase alpha subunit	4
AP-1-2beta	FBgn0010380	Adaptor Protein complex 1/2, beta subunit	4
Aplip1	FBgn0040281	APP-like protein interacting protein 1	4
Arf102F	FBgn0013749	ADP ribosylation factor at 102F	4
Arl4	FBgn0039889	ADP ribosylation factor-like 4	4
Arl8	FBgn0037551	ADP ribosylation factor-like 8	4
arm	FBgn0000117	armadillo	4
Atat	NA	NA	4
Atg1	FBgn0260945	Autophagy-related 1	4
Atg101	FBgn0030960	Autophagy-related 101	4
Atg18b	FBgn0032935	Autophagy-related 18b	4
Atg8a	FBgn0052672	Autophagy-related 8a	4
ATP6AP2	FBgn0037671	ATPase H+ transporting accessory protein 2	4
Atpalpha	FBgn0002921	Na pump alpha subunit	4
Bet3	FBgn0260859	Blocked early in transport 3	4
Bgb	FBgn0013753	Big brother	4
BI-1	FBgn0035871	Bax Inhibitor-1	4
Blos1	FBgn0050077	Biogenesis of lysosome-related organelles complex 1, subunit 1	4
brat	FBgn0010300	brain tumor	4
Bx42	FBgn0004856	Bx42	4
Caper	FBgn0031883	caper	4
Cbp53E	FBgn0004580	Calbindin 53E	4
CD98hc	FBgn0037533	CD98 heavy chain	4
Cdc37	FBgn0011573	Cdc37	4
Cdk5	FBgn0013762	Cyclin-dependent kinase 5	4
Cdk5alpha	FBgn0027491	Cdk5 activator-like protein	4
Cds	FBgn0010350	CDP-diacylglycerol synthase	4
CG10508	FBgn0037060	uncharacterized protein	4
CG10674	FBgn0035592	uncharacterized protein	4
CG11050	FBgn0031836	uncharacterized protein	4
CG11099	FBgn0034485	uncharacterized protein	4
CG11454	FBgn0031224	uncharacterized protein	4
CG1161	FBgn0037313	uncharacterized protein	4
CG11658	FBgn0036196	uncharacterized protein	4
CG12004	FBgn0035236	uncharacterized protein	4
CG12343	FBgn0033556	uncharacterized protein	4
CG12822	FBgn0033229	uncharacterized protein	4
CG13344	FBgn0033884	uncharacterized protein	4
CG13364	FBgn0026879	uncharacterized protein	4
CG13585	FBgn0035020	uncharacterized protein	4
CG13760	FBgn0040375	uncharacterized protein	4
CG13920	FBgn0025712	uncharacterized protein	4
CG13937	FBgn0035287	uncharacterized protein	4
CG14408	FBgn0030581	uncharacterized protein	4
CG14591	FBgn0033054	uncharacterized protein	4
CG14767	FBgn0040777	uncharacterized protein	4
CG14989	FBgn0035495	uncharacterized protein	4
CG15012	FBgn0035528	uncharacterized protein	4
CG15772	FBgn0029799	uncharacterized protein	4
CG1695	FBgn0031116	uncharacterized protein	4
CG17059	FBgn0040754	uncharacterized protein	4
CG17168	FBgn0039943	uncharacterized protein	4
CG17272	FBgn0038830	uncharacterized protein	4
CG17294	FBgn0032032	uncharacterized protein	4
CG17778	FBgn0023534	uncharacterized protein	4
CG18766	FBgn0042111	uncharacterized protein	4
CG1909	FBgn0039911	uncharacterized protein	4
CG1943	FBgn0037468	uncharacterized protein	4
CG1998	FBgn0030485	uncharacterized protein	4
CG2017	FBgn0037391	uncharacterized protein	4
CG2182	FBgn0037360	uncharacterized protein	4
CG2790	FBgn0027599	uncharacterized protein	4
CG30392	FBgn0050392	uncharacterized protein	4
CG3040	FBgn0029925	uncharacterized protein	4
CG30423	FBgn0050423	uncharacterized protein	4
CG31030	FBgn0051030	uncharacterized protein	4
CG31715	FBgn0051715	uncharacterized protein	4
CG31717	FBgn0051717	uncharacterized protein	4
CG31808	FBgn0062978	uncharacterized protein	4
CG31855	FBgn0051855	uncharacterized protein	4
CG32109	FBgn0052109	uncharacterized protein	4
CG32276	FBgn0047135	uncharacterized protein	4
CG32485	FBgn0052485	uncharacterized protein	4
CG33181	FBgn0053181	uncharacterized protein	4
CG34125	FBgn0083961	uncharacterized protein	4
CG34159	FBgn0085188	uncharacterized protein	4
CG34293	FBgn0085322	uncharacterized protein	4
CG3436	FBgn0031229	uncharacterized protein	4
CG34404	FBgn0085433	uncharacterized protein	4
CG3625	FBgn0031245	uncharacterized protein	4
CG3662	FBgn0031285	uncharacterized protein	4
CG3703	FBgn0040348	uncharacterized protein	4
CG3793	FBgn0028507	uncharacterized protein	4
CG3860	FBgn0034951	uncharacterized protein	4
CG3907	FBgn0034958	uncharacterized protein	4
CG3955	FBgn0033793	uncharacterized protein	4
CG42322	FBgn0259222	uncharacterized protein	4
CG42361	FBgn0259707	uncharacterized protein	4
CG4502	FBgn0031896	uncharacterized protein	4
CG45049	FBgn0266409	uncharacterized protein	4
CG4678	FBgn0030778	uncharacterized protein	4
CG5021	FBgn0035944	uncharacterized protein	4
CG5805	FBgn0039223	uncharacterized protein	4
CG5902	FBgn0039136	uncharacterized protein	4
CG5934	FBgn0039505	uncharacterized protein	4
CG5938	FBgn0046247	uncharacterized protein	4
CG6443	FBgn0032290	uncharacterized protein	4
CG7220	FBgn0033544	uncharacterized protein	4
CG7332	FBgn0030973	uncharacterized protein	4
CG7407	FBgn0037134	uncharacterized protein	4
CG7582	FBgn0039681	uncharacterized protein	4
CG7739	FBgn0036509	uncharacterized protein	4
CG7781	FBgn0032021	uncharacterized protein	4
CG9328	FBgn0032886	uncharacterized protein	4
CG9853	FBgn0086605	uncharacterized protein	4
Chd64	FBgn0035499	Chd64	4
Chmp1	FBgn0036805	Charged multivesicular body protein 1	4
CkIalpha	FBgn0015024	Casein kinase Ialpha	4
Csp	FBgn0004179	Cysteine string protein	4
ctp	FBgn0011760	cut up	4
DCTN5-p25	FBgn0040228	Dynactin 5, p25 subunit	4
Den1	FBgn0033716	Deneddylase 1	4
Dlc90F	FBgn0024432	Dynein light chain 90F	4
DnaJ-1	FBgn0263106	DnaJ-like-1	4
Drat	FBgn0033188	Death resistor Adh domain containing target	4
eff	FBgn0011217	effete	4
eIF2Bbeta	FBgn0024996	eukaryotic translation initiation factor 2B subunit beta	4
emc	FBgn0000575	extra macrochaetae	4
EMC2A	FBgn0038462	ER membrane protein complex subunit 2A	4
EMC4	FBgn0037199	ER membrane protein complex subunit 4	4
EndoA	FBgn0038659	Endophilin A	4
endos	FBgn0061515	endosulfine	4
Eno	FBgn0000579	Enolase	4
Fas1	FBgn0285925	Fasciclin 1	4
Fis1	FBgn0039969	Fission, mitochondrial 1	4
Fkbp12	FBgn0013954	FK506-binding protein 12kD	4
fs(1)h	FBgn0004656	female sterile (1) homeotic	4
futsch	FBgn0259108	futsch	4
fwe	FBgn0261722	flower	4
gammaSnap1	FBgn0028552	gamma Soluble NSF attachment protein 1	4
Gapdh1	FBgn0001091	Glyceraldehyde 3 phosphate dehydrogenase 1	4
Gapdh2	FBgn0001092	Glyceraldehyde 3 phosphate dehydrogenase 2	4
Gbeta5	FBgn0030011	Gbeta5	4
Ggamma1	FBgn0004921	G protein gamma 1	4
ghi	FBgn0266124	ghiberti	4
Glut4EF	FBgn0267336	Glucose transporter 4 enhancer factor	4
GlyP	FBgn0004507	Glycogen phosphorylase	4
Grx1	FBgn0036820	Glutaredoxin 1	4
Gycalpha99B	FBgn0013972	Guanylyl cyclase alpha-subunit at 99B	4
gzl	FBgn0037442	godzilla E3 ubiquitin protein ligase	4
hbt	NA	NA	4
HDAC4	FBgn0041210	Histone deacetylase 4	4
His3.3A	FBgn0014857	Histone H3.3A	4
HmgZ	FBgn0010228	HMG protein Z	4
Hou	NA	NA	4
HPS1	FBgn0033973	Hermansky-Pudlak Syndrome 1	4
Hr38	FBgn0014859	Hormone receptor-like in 38	4
Hsp23	FBgn0001224	Heat shock protein 23	4
Hsp26	FBgn0001225	Heat shock protein 26	4
Ifrd1	NA	NA	4
igl	FBgn0013467	igloo	4
Inos	FBgn0025885	myo-inositol-1-phosphate synthase	4
jagn	FBgn0037374	jagunal	4
jdp	FBgn0027654	jdp	4
jim	FBgn0027339	jim	4
Kank	FBgn0027596	kank	4
Kap-alpha3	FBgn0027338	karyopherin alpha3	4
kcc	FBgn0261794	kazachoc	4
KLHL18	FBgn0037978	Kelch like family member 18	4
l(1)G0196	FBgn0027279	lethal (1) G0196	4
l(2)SH0834	FBgn0267365	lethal (2) SH0834	4
Lamp1	FBgn0032949	Lamp1	4
lap	FBgn0086372	like-AP180	4
lawc	FBgn0262976	leg arista wing complex	4
lncRNA:CR30055	FBgn0050055	long non-coding RNA:CR30055	4
lncRNA:CR34335	FBgn0267910	long non-coding RNA:CR34335	4
lncRNA:CR43459	FBgn0263413	long non-coding RNA:CR43459	4
lncRNA:Hsromega	FBgn0001234	Heat shock RNA omega	4
lola	FBgn0283521	longitudinals lacking	4
lolal	FBgn0022238	lola like	4
lwr	FBgn0010602	lesswright	4
maf-S	FBgn0034534	maf-S	4
Mapmodulin	FBgn0034282	mapmodulin	4
mbf1	FBgn0262732	multiprotein bridging factor 1	4
MESK2	FBgn0043070	Misexpression suppressor of KSR 2	4
MICU3	FBgn0038735	Mitochondrial calcium uptake 3	4
Mlf	FBgn0034051	Myelodysplasia/myeloid leukemia factor	4
mlt	FBgn0265512	mulet	4
Mob2	FBgn0259481	Mob2	4
mrva	FBgn0035763	minerva	4
MsrA	FBgn0000565	Methionine sulfoxide reductase A	4
Ndfip	FBgn0052177	Nedd4 family interacting protein	4
Nipped-B	FBgn0026401	Nipped-B	4
nrv2	FBgn0015777	nervana 2	4
nSyb	FBgn0013342	neuronal Synaptobrevin	4
Ntf-2	FBgn0031145	Nuclear transport factor-2	4
Nulp1	FBgn0027549	Nuclear localized protein 1	4
Nxt1	FBgn0028411	NTF2-related export protein 1	4
Obp44a	FBgn0033268	Odorant-binding protein 44a	4
Oda	FBgn0014184	Ornithine decarboxylase antizyme	4
Oli	FBgn0032651	Olig family	4
p	FBgn0086679	pink	4
Pcf11	FBgn0264962	Pcf11 cleavage and polyadenylation factor subunit	4
Pcmt	FBgn0086768	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	4
Pfdn1	FBgn0031776	Prefoldin 1	4
Pfdn4	FBgn0035603	Prefoldin 4	4
Pfdn6	FBgn0036918	Prefoldin 6	4
Pgi	FBgn0003074	Phosphoglucose isomerase	4
Pgk	FBgn0250906	Phosphoglycerate kinase	4
phtf	FBgn0028579	phtf	4
Pis	FBgn0030670	Phosphatidylinositol synthase	4
Pka-R1	FBgn0259243	Protein kinase, cAMP-dependent, regulatory subunit type 1	4
Pka-R2	FBgn0022382	Protein kinase, cAMP-dependent, regulatory subunit type 2	4
Pkc98E	FBgn0003093	Protein C kinase 98E	4
PMCA	FBgn0259214	plasma membrane calcium ATPase	4
Pomp	FBgn0032884	pomp	4
Pp1alpha-96A	FBgn0003134	Protein phosphatase 1alpha at 96A	4
Pp2A-29B	FBgn0260439	Protein phosphatase 2A at 29B	4
PPP1R15	FBgn0034948	Protein phosphatase 1 regulatory subunit 15	4
Prps	FBgn0036030	Phosphoribosyl pyrophosphate synthetase	4
Pur-alpha	FBgn0022361	Purine-rich binding protein-alpha	4
PyK	FBgn0267385	Pyruvate kinase	4
qkr58E-3	FBgn0022984	quaking related 58E-3	4
qtc	FBgn0028572	quick-to-court	4
Rab1	FBgn0285937	Rab1	4
Rab14	FBgn0015791	Rab14	4
Rab18	FBgn0015794	Rab18	4
Rab2	FBgn0014009	Rab2	4
Rab3	FBgn0005586	Rab3	4
Rab4	FBgn0016701	Rab4	4
Rab5	FBgn0014010	Rab5	4
Rab7	FBgn0015795	Rab7	4
RabX4	FBgn0051118	RabX4	4
Rad23	FBgn0026777	Rad23	4
rdx	FBgn0264493	roadkill	4
ReepA	FBgn0261564	Receptor expression enhancing protein A	4
ref(2)P	FBgn0003231	refractory to sigma P	4
REPTOR-BP	FBgn0032202	REPTOR-binding partner	4
Rheb	FBgn0041191	Ras homolog enriched in brain	4
Rlip	FBgn0026056	Ral interacting protein	4
Rm62	FBgn0003261	Rm62	4
RNASEK	FBgn0262116	Ribonuclease kappa	4
robl	FBgn0024196	roadblock	4
Roc1a	FBgn0025638	Regulator of cullins 1a	4
Rop	FBgn0004574	Ras opposite	4
Rpn10	FBgn0015283	Regulatory particle non-ATPase 10	4
Rpn11	FBgn0028694	Regulatory particle non-ATPase 11	4
Rpn5	FBgn0028690	Regulatory particle non-ATPase 5	4
Rpt4	FBgn0028685	Regulatory particle triple-A ATPase 4	4
Rtf1	FBgn0034722	Rtf1	4
SamDC	FBgn0019932	S-adenosylmethionine decarboxylase	4
Sap47	FBgn0013334	Synapse-associated protein 47kD	4
sau	FBgn0267378	sauron	4
sbb	FBgn0285917	scribbler	4
SCCRO	FBgn0036510	Squamous cell carcinoma-related oncogene	4
SelR	FBgn0267376	Selenoprotein R	4
Serinc	NA	NA	4
Sh	FBgn0003380	Shaker	4
shi	FBgn0003392	shibire	4
shrb	FBgn0086656	shrub	4
sigmar	FBgn0034894	salivary glands marred	4
SkpA	FBgn0025637	SKP1-related A	4
slmb	FBgn0283468	supernumerary limbs	4
slo	FBgn0003429	slowpoke	4
Socs36E	FBgn0041184	Suppressor of cytokine signaling at 36E	4
sordd1	NA	NA	4
sotv	FBgn0029175	sister of tout-velu	4
sqh	FBgn0003514	spaghetti squash	4
sra	FBgn0086370	sarah	4
ssx	FBgn0024987	sister-of-Sex-lethal	4
stmA	FBgn0086784	stambha A	4
STUB1	FBgn0027052	STIP1 homology and U-box containing protein 1	4
stv	FBgn0086708	starvin	4
Svip	NA	NA	4
Syt7	FBgn0039900	Synaptotagmin 7	4
Syx17	FBgn0035540	Syntaxin 17	4
Syx6	FBgn0037084	Syntaxin 6	4
Syx7	FBgn0267849	Syntaxin 7	4
Tango11	FBgn0050404	Transport and Golgi organization 11	4
Tango9	FBgn0260744	Transport and Golgi organization 9	4
TBC1D16	FBgn0032249	TBC1 domain family member 16	4
TfIIA-S	FBgn0013347	Transcription-factor-IIA-S	4
TM4SF	FBgn0020372	Transmembrane 4 superfamily	4
Tpi	FBgn0086355	Triose phosphate isomerase	4
Trp1	FBgn0011584	Translocation protein 1	4
Trs20	FBgn0266724	TRAPP subunit 20	4
Trs31	FBgn0266723	TRAPP subunit 31	4
Tsp42Ee	FBgn0029506	Tetraspanin 42Ee	4
Tsp42Ej	FBgn0033132	Tetraspanin 42Ej	4
Ttc7	FBgn0021847	Tetratricopeptide repeat domain 7	4
Ubc4	FBgn0015321	Ubiquitin conjugating enzyme 4	4
Ubc6	FBgn0004436	Ubiquitin conjugating enzyme 6	4
UbcE2H	FBgn0029996	Ubiquitin conjugating enzyme E2H	4
UbcE2M	FBgn0035853	NEDD8-conjugating enzyme UbcE2M	4
Ubi-p5E	FBgn0086558	Ubiquitin-5E	4
Ubi-p63E	FBgn0003943	Ubiquitin-63E	4
UBL3	FBgn0026076	Ubiquitin like 3	4
Uck	FBgn0263398	Uridine-cytidine kinase	4
Usp14	FBgn0032216	Ubiquitin specific protease 14	4
veli	FBgn0039269	veli	4
Vha100-1	FBgn0028671	Vacuolar H[+] ATPase 100kD subunit 1	4
Vha13	FBgn0283536	Vacuolar H[+] ATPase 13kD subunit	4
Vha14-1	FBgn0262512	Vacuolar H[+] ATPase 14kD subunit 1	4
Vha16-1	FBgn0262736	Vacuolar H[+] ATPase 16kD subunit 1	4
Vha36-1	FBgn0022097	Vacuolar H[+] ATPase 36kD subunit 1	4
